meal_code,title,meal_kind,country,cuisine_family,cultural_specific,discovery_level,meal_contexts,diet_tags,components_json,seasoning_note,source_keys,evidence_level,auto_publish_policy,editorial_confidence,editorial_note,enabled,semantic_signature
TEE-MEAL-001,"Poulet rôti, boulgour et courgettes · inspiration provençale",composed_plate,,mediterranean,False,0,"[""lunch"",""dinner""]",[],"[{""name"":""Poulet rôti"",""role"":""protein"",""grams"":140,""lookup_terms"":[""poulet viande cuite"",""poulet rôti""]},{""name"":""Boulgour"",""role"":""starch"",""grams"":170,""lookup_terms"":[""boulgour cuit""]},{""name"":""Courgettes"",""role"":""vegetable"",""grams"":180,""lookup_terms"":[""courgette cuite""]}]","citron, ail et herbes de Provence","[""PNNS_RECIPES"",""OLDWAYS_WORLD"",""CIQUAL""]",tee_curated_whitelist,safe_plate,0.92,Assiette TEE construite sur une matrice culinaire validée; publication seulement après résolution CIQUAL forte de chaque composant.,True,mediterranean|protein:poulet_roti|starch:boulgour|vegetable:courgettes
TEE-MEAL-002,"Cabillaud au four, boulgour et aubergines · inspiration provençale",composed_plate,,mediterranean,False,0,"[""lunch"",""dinner""]",[],"[{""name"":""Cabillaud au four"",""role"":""protein"",""grams"":150,""lookup_terms"":[""cabillaud cuit"",""cabillaud rôti""]},{""name"":""Boulgour"",""role"":""starch"",""grams"":170,""lookup_terms"":[""boulgour cuit""]},{""name"":""Aubergines"",""role"":""vegetable"",""grams"":180,""lookup_terms"":[""aubergine cuite""]}]",tomate et basilic,"[""PNNS_RECIPES"",""OLDWAYS_WORLD"",""CIQUAL""]",tee_curated_whitelist,safe_plate,0.92,Assiette TEE construite sur une matrice culinaire validée; publication seulement après résolution CIQUAL forte de chaque composant.,True,mediterranean|protein:cabillaud_au_four|starch:boulgour|vegetable:aubergines
TEE-MEAL-003,"Œufs en omelette, boulgour et haricots verts · inspiration provençale",composed_plate,,mediterranean,False,0,"[""lunch"",""dinner""]",[],"[{""name"":""Œufs en omelette"",""role"":""protein"",""grams"":120,""lookup_terms"":[""oeuf omelette"",""omelette nature""]},{""name"":""Boulgour"",""role"":""starch"",""grams"":170,""lookup_terms"":[""boulgour cuit""]},{""name"":""Haricots verts"",""role"":""vegetable"",""grams"":180,""lookup_terms"":[""haricot vert cuit""]}]",citron et persil,"[""PNNS_RECIPES"",""OLDWAYS_WORLD"",""CIQUAL""]",tee_curated_whitelist,safe_plate,0.92,Assiette TEE construite sur une matrice culinaire validée; publication seulement après résolution CIQUAL forte de chaque composant.,True,mediterranean|protein:ufs_en_omelette|starch:boulgour|vegetable:haricots_verts
TEE-MEAL-004,"Pois chiches, boulgour et tomates · inspiration provençale",composed_plate,,mediterranean,False,0,"[""lunch"",""dinner""]","[""vegetarian""]","[{""name"":""Pois chiches"",""role"":""protein_plant"",""grams"":150,""lookup_terms"":[""pois chiche cuit""]},{""name"":""Boulgour"",""role"":""starch"",""grams"":170,""lookup_terms"":[""boulgour cuit""]},{""name"":""Tomates"",""role"":""vegetable"",""grams"":180,""lookup_terms"":[""tomate cuite"",""tomate crue""]}]",ail rôti et thym,"[""PNNS_RECIPES"",""OLDWAYS_WORLD"",""CIQUAL""]",tee_curated_whitelist,safe_plate,0.92,Assiette TEE construite sur une matrice culinaire validée; publication seulement après résolution CIQUAL forte de chaque composant.,True,mediterranean|protein_plant:pois_chiches|starch:boulgour|vegetable:tomates
TEE-MEAL-005,"Lentilles vertes, boulgour et courgettes · inspiration provençale",composed_plate,,mediterranean,False,0,"[""lunch"",""dinner""]","[""vegetarian""]","[{""name"":""Lentilles vertes"",""role"":""protein_plant"",""grams"":160,""lookup_terms"":[""lentille verte cuite""]},{""name"":""Boulgour"",""role"":""starch"",""grams"":170,""lookup_terms"":[""boulgour cuit""]},{""name"":""Courgettes"",""role"":""vegetable"",""grams"":180,""lookup_terms"":[""courgette cuite""]}]","citron, ail et herbes de Provence","[""PNNS_RECIPES"",""OLDWAYS_WORLD"",""CIQUAL""]",tee_curated_whitelist,safe_plate,0.92,Assiette TEE construite sur une matrice culinaire validée; publication seulement après résolution CIQUAL forte de chaque composant.,True,mediterranean|protein_plant:lentilles_vertes|starch:boulgour|vegetable:courgettes
TEE-MEAL-006,"Poulet rôti, pâtes complètes et haricots verts · inspiration provençale",composed_plate,,mediterranean,False,0,"[""lunch"",""dinner""]",[],"[{""name"":""Poulet rôti"",""role"":""protein"",""grams"":140,""lookup_terms"":[""poulet viande cuite"",""poulet rôti""]},{""name"":""Pâtes complètes"",""role"":""starch"",""grams"":170,""lookup_terms"":[""pâtes alimentaires au blé complet cuites"",""pâtes complètes cuites""]},{""name"":""Haricots verts"",""role"":""vegetable"",""grams"":180,""lookup_terms"":[""haricot vert cuit""]}]",tomate et basilic,"[""PNNS_RECIPES"",""OLDWAYS_WORLD"",""CIQUAL""]",tee_curated_whitelist,safe_plate,0.92,Assiette TEE construite sur une matrice culinaire validée; publication seulement après résolution CIQUAL forte de chaque composant.,True,mediterranean|protein:poulet_roti|starch:pates_completes|vegetable:haricots_verts
TEE-MEAL-007,"Cabillaud au four, pâtes complètes et tomates · inspiration provençale",composed_plate,,mediterranean,False,0,"[""lunch"",""dinner""]",[],"[{""name"":""Cabillaud au four"",""role"":""protein"",""grams"":150,""lookup_terms"":[""cabillaud cuit"",""cabillaud rôti""]},{""name"":""Pâtes complètes"",""role"":""starch"",""grams"":170,""lookup_terms"":[""pâtes alimentaires au blé complet cuites"",""pâtes complètes cuites""]},{""name"":""Tomates"",""role"":""vegetable"",""grams"":180,""lookup_terms"":[""tomate cuite"",""tomate crue""]}]",citron et persil,"[""PNNS_RECIPES"",""OLDWAYS_WORLD"",""CIQUAL""]",tee_curated_whitelist,safe_plate,0.92,Assiette TEE construite sur une matrice culinaire validée; publication seulement après résolution CIQUAL forte de chaque composant.,True,mediterranean|protein:cabillaud_au_four|starch:pates_completes|vegetable:tomates
TEE-MEAL-008,"Œufs en omelette, pâtes complètes et courgettes · inspiration provençale",composed_plate,,mediterranean,False,0,"[""lunch"",""dinner""]",[],"[{""name"":""Œufs en omelette"",""role"":""protein"",""grams"":120,""lookup_terms"":[""oeuf omelette"",""omelette nature""]},{""name"":""Pâtes complètes"",""role"":""starch"",""grams"":170,""lookup_terms"":[""pâtes alimentaires au blé complet cuites"",""pâtes complètes cuites""]},{""name"":""Courgettes"",""role"":""vegetable"",""grams"":180,""lookup_terms"":[""courgette cuite""]}]",ail rôti et thym,"[""PNNS_RECIPES"",""OLDWAYS_WORLD"",""CIQUAL""]",tee_curated_whitelist,safe_plate,0.92,Assiette TEE construite sur une matrice culinaire validée; publication seulement après résolution CIQUAL forte de chaque composant.,True,mediterranean|protein:ufs_en_omelette|starch:pates_completes|vegetable:courgettes
TEE-MEAL-009,"Pois chiches, pâtes complètes et aubergines · inspiration provençale",composed_plate,,mediterranean,False,0,"[""lunch"",""dinner""]","[""vegetarian""]","[{""name"":""Pois chiches"",""role"":""protein_plant"",""grams"":150,""lookup_terms"":[""pois chiche cuit""]},{""name"":""Pâtes complètes"",""role"":""starch"",""grams"":170,""lookup_terms"":[""pâtes alimentaires au blé complet cuites"",""pâtes complètes cuites""]},{""name"":""Aubergines"",""role"":""vegetable"",""grams"":180,""lookup_terms"":[""aubergine cuite""]}]","citron, ail et herbes de Provence","[""PNNS_RECIPES"",""OLDWAYS_WORLD"",""CIQUAL""]",tee_curated_whitelist,safe_plate,0.92,Assiette TEE construite sur une matrice culinaire validée; publication seulement après résolution CIQUAL forte de chaque composant.,True,mediterranean|protein_plant:pois_chiches|starch:pates_completes|vegetable:aubergines
TEE-MEAL-010,"Lentilles vertes, pâtes complètes et haricots verts · inspiration provençale",composed_plate,,mediterranean,False,0,"[""lunch"",""dinner""]","[""vegetarian""]","[{""name"":""Lentilles vertes"",""role"":""protein_plant"",""grams"":160,""lookup_terms"":[""lentille verte cuite""]},{""name"":""Pâtes complètes"",""role"":""starch"",""grams"":170,""lookup_terms"":[""pâtes alimentaires au blé complet cuites"",""pâtes complètes cuites""]},{""name"":""Haricots verts"",""role"":""vegetable"",""grams"":180,""lookup_terms"":[""haricot vert cuit""]}]",tomate et basilic,"[""PNNS_RECIPES"",""OLDWAYS_WORLD"",""CIQUAL""]",tee_curated_whitelist,safe_plate,0.92,Assiette TEE construite sur une matrice culinaire validée; publication seulement après résolution CIQUAL forte de chaque composant.,True,mediterranean|protein_plant:lentilles_vertes|starch:pates_completes|vegetable:haricots_verts
